ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
V.REAL;567;2016;9;11;26.2;52.0;7.0;0.0;89.6;334.1;825.5;5.6;334.1;27.3;9.46
CHAVES;616;2016;9;11;26.6;52.0;4.0;0.0;89.7;396.5;901.7;5.1;395.8;25.3;8.29
MONTALEGRE;611;2016;9;11;25.2;41.0;5.0;0.0;89.8;272.1;731.0;5.4;281.9;26.3;8.90
C.BASTO;630;2016;9;11;29.2;55.0;5.0;0.0;89.3;129.7;741.0;5.0;180.5;24.1;7.58
BRAGANCA;575;2016;9;11;26.5;45.0;4.0;0.0;91.1;152.0;838.2;6.2;209.2;28.3;10.11
MIRANDELA;632;2016;9;11;26.6;52.0;4.0;0.0;89.7;411.0;930.2;5.1;410.2;25.3;8.29
M.DOURO;635;2016;9;11;28.8;40.0;6.0;0.0;90.7;135.0;866.6;6.4;194.3;28.8;10.39
MOGADOURO;637;2016;9;11;27.2;41.0;10.0;0.0;91.5;163.5;880.3;9.0;223.3;36.8;16.07
MCAVALEIRO;633;2016;9;11;28.1;39.0;6.0;0.0;92.4;409.2;924.9;8.0;408.4;34.7;14.45
C.ANSIAES;644;2016;9;11;27.2;42.0;7.0;0.0;91.0;132.4;787.7;7.2;186.5;30.9;11.77
MONCORVO;654;2016;9;11;25.8;52.0;7.0;0.0;89.5;83.9;830.5;5.8;134.0;24.5;7.80
AVEIRO/UNI;702;2016;9;11;19.8;87.0;1.0;0.0;82.6;113.3;745.0;1.6;164.2;9.8;1.55
ANADIA;705;2016;9;11;27.9;60.0;8.0;0.0;88.7;226.0;859.4;5.2;272.7;25.7;8.50
AROUCA;669;2016;9;11;27.3;46.0;6.0;0.0;90.1;350.7;784.7;5.9;350.1;28.0;9.92
VISEU/CC;560;2016;9;11;27.5;39.0;9.0;0.0;90.6;147.8;743.3;7.6;197.4;32.3;12.74
MOIM.BEIRA;663;2016;9;11;28.1;34.0;5.0;0.0;92.9;163.3;827.2;8.4;218.7;35.1;14.79
NELAS;685;2016;9;11;28.5;43.0;9.0;0.0;89.9;333.0;882.4;6.8;342.7;31.0;11.88
GUARDA;683;2016;9;11;26.2;34.0;9.0;0.0;91.1;135.5;736.3;7.7;185.6;32.3;12.79
P.DOURADAS;568;2016;9;11;24.6;47.0;5.0;0.0;89.1;106.0;433.2;5.0;131.6;21.9;6.41
FC.RODRIGO;671;2016;9;11;28.9;38.0;10.0;0.0;91.0;167.1;864.9;8.3;225.4;34.8;14.55
TRANCOSO;666;2016;9;11;27.8;35.0;5.0;0.0;92.9;168.8;818.4;8.1;222.8;34.4;14.24
SABUGAL;800;2016;9;11;28.7;34.0;9.0;0.0;91.7;331.9;837.5;8.7;333.4;36.5;15.85
COIMBRA/CE;548;2016;9;11;26.6;56.0;10.0;0.0;89.0;280.2;842.2;6.2;305.9;29.1;10.61
LOUSA;697;2016;9;11;31.5;36.0;7.0;0.0;91.8;206.8;916.0;7.8;264.4;33.8;13.82
PAMP.SERRA;686;2016;9;11;30.1;32.0;9.0;0.1;92.0;172.7;827.2;8.8;226.9;36.3;15.69
FIG.FOZ;713;2016;9;11;24.5;66.0;13.0;0.0;87.1;160.9;805.1;5.6;214.6;26.5;8.99
LEIRIA/AER;718;2016;9;11;17.6;64.0;14.0;0.0;86.4;285.9;862.7;5.3;312.7;26.0;8.70
ANSIAO;716;2016;9;11;28.9;44.0;9.0;0.0;89.9;146.3;817.5;6.7;202.1;29.7;11.01
ALCOBACA;726;2016;9;11;25.4;97.0;14.0;0.0;77.2;134.2;869.6;1.8;193.7;11.0;1.91
C.BRANCO;570;2016;9;11;30.5;30.0;5.0;0.0;93.1;398.1;935.5;8.5;397.7;35.9;15.42
COVILHA;687;2016;9;11;30.8;36.0;13.0;0.0;92.4;150.7;840.7;11.7;208.2;43.2;21.38
ZEBREIRA;803;2016;9;11;31.9;30.0;5.0;0.0;93.1;229.7;946.4;8.6;285.9;36.1;15.56
PROENCA;806;2016;9;11;30.5;45.0;8.0;0.0;91.6;511.8;1002.6;8.0;509.2;34.6;14.41
LISBOA/GC;579;2016;9;11;27.7;50.0;9.0;0.0;90.3;384.0;924.6;6.9;383.7;31.2;12.03
D.PORTOS;739;2016;9;11;27.3;57.0;15.0;0.0;88.4;346.6;943.1;7.2;361.3;32.3;12.75
SANTAREMFB;734;2016;9;11;30.3;44.0;5.0;0.0;91.0;446.1;979.8;6.5;445.0;30.2;11.32
R.MAIOR;729;2016;9;11;28.2;54.0;13.0;0.0;89.6;373.5;946.0;7.9;375.9;34.4;14.23
CORUCHE;744;2016;9;11;28.7;50.0;11.0;0.0;90.4;373.0;927.1;8.0;372.9;34.6;14.43
TOMAR;724;2016;9;11;30.0;45.0;8.0;0.0;90.5;385.6;1003.7;7.0;393.4;31.7;12.37
ALVEGA;812;2016;9;11;30.7;45.0;13.0;0.0;91.6;194.5;979.5;10.6;260.0;41.2;19.61
PORTALEGRE;571;2016;9;11;28.3;33.0;7.0;0.0;91.9;186.4;917.9;8.1;247.3;34.5;14.31
ELVAS;835;2016;9;11;30.8;36.0;7.0;0.0;91.9;567.4;1033.0;7.9;563.5;34.1;14.06
AVIS;824;2016;9;11;29.5;49.0;7.0;0.0;90.9;179.6;932.5;7.0;242.4;31.2;12.03
EVORA/CC;558;2016;9;11;31.3;33.0;7.0;0.0;92.4;563.3;1103.3;8.5;560.3;36.0;15.48
ESTREMOZ;837;2016;9;11;32.0;25.0;7.0;0.0;94.0;266.2;922.2;10.8;309.2;42.0;20.33
PORTEL;848;2016;9;11;31.7;35.0;7.0;0.0;92.3;569.6;1101.0;8.2;566.4;35.1;14.78
